# R pretty() oracle for tracs/src/plot/pretty.rs
# Generated from R 4.6.0 with:
#   Rscript -e "set.seed(11); ..."  (see tests/plot_pretty_oracle.rs for the script)
# Columns: lo<TAB>up<TAB>comma-separated pretty(c(lo, up)) with default n=5
-2017134.2883259058	-2017134.2883242811	-2017134.2883260,-2017134.2883255,-2017134.2883250,-2017134.2883245,-2017134.2883240
-7498334.8930254579	-7498334.7430767417	-7498334.90,-7498334.85,-7498334.80,-7498334.75,-7498334.70
98352.530039846897	98352.54822980336	98352.530,98352.535,98352.540,98352.545,98352.550
-1764407.8936427832	-1764407.8932148565	-1764407.8937,-1764407.8936,-1764407.8935,-1764407.8934,-1764407.8933,-1764407.8932
6253364.0768378973	6253586.1089721639	6253350,6253400,6253450,6253500,6253550,6253600
-4462533.8586047292	-4462533.8585825358	-4462533.858605,-4462533.858600,-4462533.858595,-4462533.858590,-4462533.858585,-4462533.858580
-4879944.9112266302	-4879944.9112209789	-4879944.911227,-4879944.911226,-4879944.911225,-4879944.911224,-4879944.911223,-4879944.911222,-4879944.911221,-4879944.911220
-5050882.8507736325	-5050882.8501496883	-5050882.8508,-5050882.8507,-5050882.8506,-5050882.8505,-5050882.8504,-5050882.8503,-5050882.8502,-5050882.8501
-126524.75386857986	-126212.29104786186	-126550,-126500,-126450,-126400,-126350,-126300,-126250,-126200
-3419483.8954135776	-3249447.5595398736	-3450000,-3400000,-3350000,-3300000,-3250000,-3200000
2755798.0641722679	2755798.0641737785	2755798.0641720,2755798.0641725,2755798.0641730,2755798.0641735,2755798.0641740
583296.22261226177	653558.0614390776	580000,600000,620000,640000,660000
57118.469849228859	57177.475003821433	57110,57120,57130,57140,57150,57160,57170,57180
-1488098.5813215375	-1488098.5698753612	-1488098.582,-1488098.580,-1488098.578,-1488098.576,-1488098.574,-1488098.572,-1488098.570,-1488098.568
-5561455.5021747947	-5561454.9206864983	-5561455.6,-5561455.5,-5561455.4,-5561455.3,-5561455.2,-5561455.1,-5561455.0,-5561454.9
-1749518.1737467647	-1709326.7601197653	-1750000,-1740000,-1730000,-1720000,-1710000,-1700000
-6746821.6642737389	-6746764.0162978647	-6746830,-6746820,-6746810,-6746800,-6746790,-6746780,-6746770,-6746760
-7305300.6455302238	-7299265.0036641788	-7306000,-7305000,-7304000,-7303000,-7302000,-7301000,-7300000,-7299000
-6518327.8685435653	-6518293.367616808	-6518330,-6518325,-6518320,-6518315,-6518310,-6518305,-6518300,-6518295,-6518290
5026240.2463704348	5026240.2466083206	5026240.24635,5026240.24640,5026240.24645,5026240.24650,5026240.24655,5026240.24660,5026240.24665
-8853189.8707151413	-8853186.8483983427	-8853190.0,-8853189.5,-8853189.0,-8853188.5,-8853188.0,-8853187.5,-8853187.0,-8853186.5
-6156659.6804186702	-6156545.7717356635	-6156660,-6156640,-6156620,-6156600,-6156580,-6156560,-6156540
3720945.5482661724	3720945.8887756113	3720945.50,3720945.55,3720945.60,3720945.65,3720945.70,3720945.75,3720945.80,3720945.85,3720945.90
-1475965.678691864	-1475965.6782361905	-1475965.6787,-1475965.6786,-1475965.6785,-1475965.6784,-1475965.6783,-1475965.6782
8777878.5731643438	8777887.7877682485	8777878,8777880,8777882,8777884,8777886,8777888
-4590520.0345441699	-4590520.0136281671	-4590520.035,-4590520.030,-4590520.025,-4590520.020,-4590520.015,-4590520.010
-2719769.1844776273	-2719769.1837466601	-2719769.1846,-2719769.1844,-2719769.1842,-2719769.1840,-2719769.1838,-2719769.1836
