# Oracle for the special functions `tracs diffpeak` implements: digamma,
# trigamma, tetragamma, trigammaInverse, log-gamma, and the two-sided t tail.
# Generated with R 4.6.0 (trigammaInverse from statmod).
#
# `kind` names the function, `arg` its argument (plus `arg2` for pt's df).
# Regenerate by re-running the generator that produced this file.
kind	arg	arg2	expected
trigamma_inverse	0.01		100.49916668194319
trigamma_inverse	0.10000000000000001		10.491681821078421
trigamma_inverse	1		1.4262551202150788
trigamma_inverse	10		0.33508104437803565
trigamma_inverse	10000		0.010000810704391058
trigamma_inverse	100000000		0.0001
t_two_sided_p	-50	1	0.012730698201945594
t_two_sided_p	-12.5	1	0.050821347332231794
t_two_sided_p	-6	1	0.10513691342250685
t_two_sided_p	-3	1	0.20483276469913345
t_two_sided_p	-2	1	0.29516723530086642
t_two_sided_p	-1	1	0.49999999999999956
t_two_sided_p	-0.5	1	0.70483276469913358
t_two_sided_p	0	1	1
t_two_sided_p	0.5	1	0.70483276469913358
t_two_sided_p	1	1	0.49999999999999956
t_two_sided_p	2	1	0.29516723530086642
t_two_sided_p	3	1	0.20483276469913345
t_two_sided_p	6	1	0.10513691342250685
t_two_sided_p	12.5	1	0.050821347332231794
t_two_sided_p	50	1	0.012730698201945594
t_two_sided_p	-50	1.5	0.0021324309102888667
t_two_sided_p	-12.5	1.5	0.016977766190125056
t_two_sided_p	-6	1.5	0.050202456776324782
t_two_sided_p	-3	1.5	0.13354775425491328
t_two_sided_p	-2	1.5	0.2241883303560511
t_two_sided_p	-1	1.5	0.45113536727671055
t_two_sided_p	-0.5	1.5	0.68056711066994002
t_two_sided_p	0	1.5	1
t_two_sided_p	0.5	1.5	0.68056711066994002
t_two_sided_p	1	1.5	0.45113536727671055
t_two_sided_p	2	1.5	0.2241883303560511
t_two_sided_p	3	1.5	0.13354775425491328
t_two_sided_p	6	1.5	0.050202456776324782
t_two_sided_p	12.5	1.5	0.016977766190125056
t_two_sided_p	50	1.5	0.0021324309102888667
t_two_sided_p	-50	2	0.00039976015988808057
t_two_sided_p	-12.5	2	0.0063392081035446839
t_two_sided_p	-6	2	0.026671473215424769
t_two_sided_p	-3	2	0.095465966266709126
t_two_sided_p	-2	2	0.18350341907227391
t_two_sided_p	-1	2	0.42264973081037427
t_two_sided_p	-0.5	2	0.66666666666666674
t_two_sided_p	0	2	1
t_two_sided_p	0.5	2	0.66666666666666674
t_two_sided_p	1	2	0.42264973081037427
t_two_sided_p	2	2	0.18350341907227391
t_two_sided_p	3	2	0.095465966266709126
t_two_sided_p	6	2	0.026671473215424769
t_two_sided_p	12.5	2	0.0063392081035446839
t_two_sided_p	50	2	0.00039976015988808057
t_two_sided_p	-50	2.181494764	0.00022239696478020413
t_two_sided_p	-12.5	2.181494764	0.004527245576867271
t_two_sided_p	-6	2.181494764	0.021624797281864835
t_two_sided_p	-3	2.181494764	0.085905113256563762
t_two_sided_p	-2	2.181494764	0.17279176083416345
t_two_sided_p	-1	2.181494764	0.41505954890382701
t_two_sided_p	-0.5	2.181494764	0.66299451420490119
t_two_sided_p	0	2.181494764	1
t_two_sided_p	0.5	2.181494764	0.66299451420490119
t_two_sided_p	1	2.181494764	0.41505954890382701
t_two_sided_p	2	2.181494764	0.17279176083416345
t_two_sided_p	3	2.181494764	0.085905113256563762
t_two_sided_p	6	2.181494764	0.021624797281864835
t_two_sided_p	12.5	2.181494764	0.004527245576867271
t_two_sided_p	50	2.181494764	0.00022239696478020413
t_two_sided_p	-50	3	1.7617152041271951e-05
t_two_sided_p	-12.5	3	0.0011036313310960576
t_two_sided_p	-6	3	0.0092727148922846607
t_two_sided_p	-3	3	0.057668885622437313
t_two_sided_p	-2	3	0.13932596855884313
t_two_sided_p	-1	3	0.39100221895577053
t_two_sided_p	-0.5	3	0.65144796484815104
t_two_sided_p	0	3	1
t_two_sided_p	0.5	3	0.65144796484815104
t_two_sided_p	1	3	0.39100221895577053
t_two_sided_p	2	3	0.13932596855884313
t_two_sided_p	3	3	0.057668885622437313
t_two_sided_p	6	3	0.0092727148922846607
t_two_sided_p	12.5	3	0.0011036313310960576
t_two_sided_p	50	3	1.7617152041271951e-05
t_two_sided_p	-50	4.5	2.367394795568383e-07
t_two_sided_p	-12.5	4.5	0.00011522303973700814
t_two_sided_p	-6	4.5	0.0026414758055515815
t_two_sided_p	-3	4.5	0.03438086788875961
t_two_sided_p	-2	4.5	0.10825790718112493
t_two_sided_p	-1	4.5	0.36800508388018832
t_two_sided_p	-0.5	4.5	0.64054950207404715
t_two_sided_p	0	4.5	1
t_two_sided_p	0.5	4.5	0.64054950207404715
t_two_sided_p	1	4.5	0.36800508388018832
t_two_sided_p	2	4.5	0.10825790718112493
t_two_sided_p	3	4.5	0.03438086788875961
t_two_sided_p	6	4.5	0.0026414758055515815
t_two_sided_p	12.5	4.5	0.00011522303973700814
t_two_sided_p	50	4.5	2.367394795568383e-07
t_two_sided_p	-50	7	3.3512525955500355e-10
t_two_sided_p	-12.5	7	4.8324180231809986e-06
t_two_sided_p	-6	7	0.00054225834200280964
t_two_sided_p	-3	7	0.019942126131992522
t_two_sided_p	-2	7	0.085619328562975966
t_two_sided_p	-1	7	0.35061666282020748
t_two_sided_p	-0.5	7	0.63240713568928419
t_two_sided_p	0	7	1
t_two_sided_p	0.5	7	0.63240713568928419
t_two_sided_p	1	7	0.35061666282020748
t_two_sided_p	2	7	0.085619328562975966
t_two_sided_p	3	7	0.019942126131992522
t_two_sided_p	6	7	0.00054225834200280964
t_two_sided_p	12.5	7	4.8324180231809986e-06
t_two_sided_p	50	7	3.3512525955500355e-10
t_two_sided_p	-50	10	2.4743103293026876e-13
t_two_sided_p	-12.5	10	1.9882546361378243e-07
t_two_sided_p	-6	10	0.00013210886035478568
t_two_sided_p	-3	10	0.013343655022569588
t_two_sided_p	-2	10	0.073388034770740393
t_two_sided_p	-1	10	0.34089313230206009
t_two_sided_p	-0.5	10	0.62789360574297293
t_two_sided_p	0	10	1
t_two_sided_p	0.5	10	0.62789360574297293
t_two_sided_p	1	10	0.34089313230206009
t_two_sided_p	2	10	0.073388034770740393
t_two_sided_p	3	10	0.013343655022569588
t_two_sided_p	6	10	0.00013210886035478568
t_two_sided_p	12.5	10	1.9882546361378243e-07
t_two_sided_p	50	10	2.4743103293026876e-13
t_two_sided_p	-50	25	1.4015579831017857e-26
t_two_sided_p	-12.5	25	2.9791523130524924e-12
t_two_sided_p	-6	25	2.8853276588988607e-06
t_two_sided_p	-3	25	0.0060381795651434905
t_two_sided_p	-2	25	0.056475980426897276
t_two_sided_p	-1	25	0.32689191269184126
t_two_sided_p	-0.5	25	0.6214477851902287
t_two_sided_p	0	25	1
t_two_sided_p	0.5	25	0.6214477851902287
t_two_sided_p	1	25	0.32689191269184126
t_two_sided_p	2	25	0.056475980426897276
t_two_sided_p	3	25	0.0060381795651434905
t_two_sided_p	6	25	2.8853276588988607e-06
t_two_sided_p	12.5	25	2.9791523130524924e-12
t_two_sided_p	50	25	1.4015579831017857e-26
t_two_sided_p	-50	100	1.4472163679761339e-72
t_two_sided_p	-12.5	100	3.7359249960130876e-22
t_two_sided_p	-6	100	3.1724915028028602e-08
t_two_sided_p	-3	100	0.0034079153433294504
t_two_sided_p	-2	100	0.048212178731133669
t_two_sided_p	-1	100	0.31972415578412372
t_two_sided_p	-0.5	100	0.61817356583088667
t_two_sided_p	0	100	1
t_two_sided_p	0.5	100	0.61817356583088667
t_two_sided_p	1	100	0.31972415578412372
t_two_sided_p	2	100	0.048212178731133669
t_two_sided_p	3	100	0.0034079153433294504
t_two_sided_p	6	100	3.1724915028028602e-08
t_two_sided_p	12.5	100	3.7359249960130876e-22
t_two_sided_p	50	100	1.4472163679761339e-72
t_two_sided_p	-50	1000	2.7586724123248807e-274
t_two_sided_p	-12.5	1000	2.0316243019044881e-33
t_two_sided_p	-6	1000	2.7553691733774752e-09
t_two_sided_p	-3	1000	0.0027667090442381899
t_two_sided_p	-2	1000	0.045770346493251658
t_two_sided_p	-1	1000	0.31755241808467266
t_two_sided_p	-0.5	1000	0.61718508083387502
t_two_sided_p	0	1000	1
t_two_sided_p	0.5	1000	0.61718508083387502
t_two_sided_p	1	1000	0.31755241808467266
t_two_sided_p	2	1000	0.045770346493251658
t_two_sided_p	3	1000	0.0027667090442381899
t_two_sided_p	6	1000	2.7553691733774752e-09
t_two_sided_p	12.5	1000	2.0316243019044881e-33
t_two_sided_p	50	1000	2.7586724123248807e-274
