chromosome	start	end	size	H3K27ac_1	H3K27ac_2	Input_1	Input_2
chr1	23000	23500	500	14664.45282	13373.287619999999	3770.0995050000001	4002.2101010000001
chr1	23500	24000	500	13077.88639	23693.90164	8848.1705579999998	5154.1995049999996
chr1	24000	24500	500	32781.774169999997	16782.909930000002	3239.9686590000001	4174.1890059999996
chr1	24500	25000	500	3168.725089	4390.3665609999998	1586.293946	1272.028243
chr1	25000	25500	500	31026.72221	31076.352180000002	11109.40797	14381.503269999999
chr1	25500	26000	500	16079.475119999999	11252.487139999999	2808.704659	2896.4405820000002
chr1	26000	26500	500	66411.028099999996	90897.566149999999	20875.76038	32260.22076
chr1	26500	27000	500	5168.0459709999996	5567.6123360000001	1292.3508220000001	1729.2121830000001
chr1	27000	27500	500	9289.9017120000008	6837.4293589999997	2552.1789079999999	1847.007114
chr1	27500	28000	500	12622.164870000001	13595.18087	4378.9659220000003	3916.868735
chr1	28000	28500	500	3619.342447	2229.3001829999998	514.97571219999998	271.35471209999997
chr1	28500	29000	500	2358.0605919999998	6645.8850249999996	1133.143928	1886.6501310000001
chr1	29000	29500	500	11732.30278	11388.63336	2613.519487	3705.0560049999999
chr1	29500	30000	500	16235.805179999999	12638.1602	2385.494267	2634.352574
chr1	30000	30500	500	41779.807829999998	27251.384959999999	10264.23949	6491.5195899999999
chr1	30500	31000	500	18642.662670000002	15169.733770000001	5386.0702350000001	4936.6589100000001
chr1	31000	31500	500	9653.1605259999997	8340.5588480000006	3325.8827329999999	2565.0009249999998
chr1	31500	32000	500	4711.4204499999996	8670.7736860000005	2309.9525800000001	3994.2905649999998
chr1	32000	32500	500	24989.832149999998	57187.456599999998	9026.3904640000001	11391.88689
chr1	32500	33000	500	5782.3665090000004	7722.451427	1602.0794450000001	1361.7286549999999
chr1	33000	33500	500	35196.185830000002	33341.069080000001	13342.042530000001	10362.423870000001
chr1	33500	34000	500	17412.202389999999	16861.08152	5900.4518040000003	3634.3842410000002
chr1	34000	34500	500	40924.742830000003	51089.020320000003	23913.774850000002	20780.275549999998
chr1	34500	35000	500	10610.145049999999	7105.0088230000001	3244.5963240000001	2935.0591669999999
chr1	35000	35500	500	6987.0286859999997	15718.58987	3109.395293	2784.481374
chr1	35500	36000	500	7125.7109479999999	8330.5601409999999	2212.1384280000002	1867.935559
chr1	36000	36500	500	23050.827089999999	21967.418030000001	5364.0023549999996	6326.3713200000002
chr1	36500	37000	500	38913.918510000003	56841.76728	13035.47049	12689.93809
chr1	37000	37500	500	7532.901562	12205.35628	2059.6990540000002	2218.9023440000001
chr1	37500	38000	500	47611.206400000003	61396.14993	13467.90445	15702.62167
chr1	38000	38500	500	6664.8544339999999	17686.568599999999	2494.2211109999998	3329.5744500000001
chr1	38500	39000	500	43564.890590000003	44915.462460000002	11614.839970000001	21999.90553
chr1	39000	39500	500	23354.553830000001	13409.24452	2571.488206	3061.140304
chr1	39500	40000	500	45423.486389999998	39690.022729999997	14487.72846	7409.118426
chr1	40000	40500	500	12050.86479	13394.487870000001	3335.5275310000002	4690.0467429999999
chr1	40500	41000	500	7408.77369	8467.1001720000004	2597.8728769999998	2005.9393950000001
chr1	41000	41500	500	26608.29089	47687.007129999998	7370.2203470000004	8103.6389390000004
chr1	41500	42000	500	8967.9915980000005	8466.6600049999997	3562.4448299999999	2497.699572
chr1	42000	42500	500	10454.90343	9863.8033770000002	3125.1286030000001	2214.6684300000002
chr1	42500	43000	500	6466.0054129999999	2762.3925429999999	741.80730459999995	591.54997419999995
chr1	43000	43500	500	22415.639589999999	38589.756529999999	8827.4067730000006	6248.5114890000004
chr1	43500	44000	500	34839.528480000001	38373.836049999998	11260.30025	18063.194380000001
chr1	44000	44500	500	13646.72308	15502.383949999999	2462.6321560000001	2989.0571909999999
chr1	44500	45000	500	27070.970499999999	37373.996189999998	10907.030339999999	7863.9901650000002
chr1	45000	45500	500	9223.3965800000005	6878.9983849999999	2174.7995980000001	1409.4321190000001
chr1	45500	46000	500	6058.1753980000003	8489.5158200000005	2092.397015	1095.055329
chr1	46000	46500	500	36668.680809999998	41790.356529999997	7126.3944799999999	12688.058209999999
chr1	46500	47000	500	29684.785049999999	27432.87787	8042.2626749999999	9545.0084509999997
chr1	47000	47500	500	130568.18369999999	83390.82634	13367.19571	14319.7148
chr1	47500	48000	500	79641.027470000001	91179.531010000006	20689.951150000001	12920.067489999999
chr1	48000	48500	500	3155.878925	2291.748161	711.78463009999996	771.00772240000003
chr1	48500	49000	500	1630.831565	1880.672613	498.45432410000001	989.5998912
chr1	49000	49500	500	6553.2037730000002	4623.0638440000002	992.68321179999998	2392.6540049999999
chr1	49500	50000	500	15060.680619999999	20529.291420000001	6855.7701770000003	3947.6124669999999
chr1	50000	50500	500	2250.0314779999999	5007.387119	985.36943120000001	823.2952593
chr1	50500	51000	500	3761.5465819999999	3816.4339890000001	1524.182689	1292.881298
chr1	51000	51500	500	3646.9288860000001	2813.144667	574.19190319999996	821.90376730000003
chr1	51500	52000	500	24255.255990000001	18191.889279999999	4358.7493990000003	5565.500352
chr1	52000	52500	500	23502.460129999999	24071.765100000001	7856.6469859999997	6737.1871460000002
chr1	52500	53000	500	63902.460449999999	100171.1263	20568.52306	18889.91893
chr1	53000	53500	500	5780.1645150000004	2328.5876859999998	1042.901239	855.43535710000003
chr1	53500	54000	500	3109.8730780000001	3169.3911670000002	1216.3631829999999	897.4564024
chr1	54000	54500	500	9955.8696450000007	5129.7575809999998	2083.0174040000002	3530.0490180000002
chr1	54500	55000	500	25984.17164	26219.068879999999	6665.9580409999999	5576.4781039999998
chr1	55000	55500	500	2974.163536	2052.4579079999999	505.58612110000001	786.88760539999998
chr1	55500	56000	500	34879.583209999997	46119.824719999997	11723.24474	7412.403096
chr1	56000	56500	500	28461.893380000001	34505.415050000003	4768.9675180000004	6446.1424280000001
chr1	56500	57000	500	128138.4768	94518.246859999999	18560.207969999999	23697.6895
chr1	57000	57500	500	14261.297930000001	13109.877189999999	5109.0491910000001	3184.5995849999999
chr1	57500	58000	500	26661.149720000001	48053.464419999997	6538.790763	5389.4718140000004
chr1	58000	58500	500	16784.356810000001	38934.081019999998	4607.7649099999999	5663.8264360000003
chr1	58500	59000	500	2667.1628340000002	4764.7898779999996	723.72890930000005	1089.420091
chr1	59000	59500	500	65970.028630000001	61099.446680000001	7631.0182770000001	8706.0780429999995
chr1	59500	60000	500	4891.606366	3986.7576920000001	1156.9572909999999	1326.181339
chr1	60000	60500	500	3825.319982	4131.8160550000002	1631.27622	859.47980870000004
chr1	60500	61000	500	25462.716560000001	30969.517879999999	8008.7548930000003	8442.6748420000004
